"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"3x3","3x3-seeded-random","-1","3","2","0.111111","1","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","3","2","0.111111","2","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","3","2","0.111111","3","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","3","3","0.166667","1","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","3","3","0.166667","2","1","O01","objective","S02","LM"
"3x3","3x3-seeded-random","-1","3","3","0.166667","3","1","O12","objective","S12","MH"
"3x3","3x3-seeded-random","-1","3","4","0.222222","1","2","O01","objective","S11","LM"
"3x3","3x3-seeded-random","-1","3","4","0.222222","2","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","3","4","0.222222","3","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","3","5","0.277778","1","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","3","5","0.277778","2","1","O00","objective","S00","LL"
"3x3","3x3-seeded-random","-1","3","5","0.277778","3","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","3","6","0.333333","1","2","O21","objective","S31","HM"
"3x3","3x3-seeded-random","-1","3","6","0.333333","2","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","3","6","0.333333","3","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","3","7","0.388889","1","1","O01","objective","S02","LM"
"3x3","3x3-seeded-random","-1","3","7","0.388889","2","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","3","7","0.388889","3","1","O01","objective","S01","LM"
"3x3","3x3-seeded-random","-1","3","8","0.444444","1","2","O11","objective","S21","MM"
"3x3","3x3-seeded-random","-1","3","8","0.444444","2","2","O22","objective","S33","HH"
"3x3","3x3-seeded-random","-1","3","8","0.444444","3","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","3","9","0.500000","1","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","3","9","0.500000","2","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","3","9","0.500000","3","1","O21","objective","S32","HM"
"3x3","3x3-seeded-random","-1","3","10","0.555556","1","2","O21","objective","S31","HM"
"3x3","3x3-seeded-random","-1","3","10","0.555556","2","2","O00","objective","S11","LL"
"3x3","3x3-seeded-random","-1","3","10","0.555556","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","3","11","0.611111","1","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","3","11","0.611111","2","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","3","11","0.611111","3","1","O11","objective","S22","MM"
"3x3","3x3-seeded-random","-1","3","12","0.666667","1","2","O20","objective","S31","HL"
"3x3","3x3-seeded-random","-1","3","12","0.666667","2","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","3","12","0.666667","3","2","O20","objective","S21","HL"
"3x3","3x3-seeded-random","-1","3","13","0.722222","1","1","O21","objective","S22","HM"
"3x3","3x3-seeded-random","-1","3","13","0.722222","2","1","O10","objective","S10","ML"
"3x3","3x3-seeded-random","-1","3","13","0.722222","3","1","O22","objective","S32","HH"
"3x3","3x3-seeded-random","-1","3","14","0.777778","1","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","3","14","0.777778","2","2","O10","objective","S11","ML"
"3x3","3x3-seeded-random","-1","3","14","0.777778","3","2","O10","objective","S21","ML"
"3x3","3x3-seeded-random","-1","3","15","0.833333","1","1","O02","objective","S12","LH"
"3x3","3x3-seeded-random","-1","3","15","0.833333","2","1","O00","objective","S01","LL"
"3x3","3x3-seeded-random","-1","3","15","0.833333","3","1","O11","objective","S22","MM"
"3x3","3x3-seeded-random","-1","3","16","0.888889","1","2","O02","objective","S13","LH"
"3x3","3x3-seeded-random","-1","3","16","0.888889","2","2","O20","objective","S31","HL"
"3x3","3x3-seeded-random","-1","3","16","0.888889","3","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","3","17","0.944444","1","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","3","17","0.944444","2","1","O11","objective","S12","MM"
"3x3","3x3-seeded-random","-1","3","17","0.944444","3","1","O21","objective","S22","HM"
"3x3","3x3-seeded-random","-1","3","18","1.000000","1","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","3","18","1.000000","2","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","3","18","1.000000","3","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","4","1","0.055556","1","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","4","1","0.055556","2","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","4","1","0.055556","3","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","4","2","0.111111","1","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","4","2","0.111111","2","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","4","2","0.111111","3","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","4","3","0.166667","1","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","4","3","0.166667","2","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","4","3","0.166667","3","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","4","4","0.222222","1","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","4","4","0.222222","2","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","4","4","0.222222","3","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","4","5","0.277778","1","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","4","5","0.277778","2","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","4","5","0.277778","3","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","4","6","0.333333","1","2","O10","objective","S20","ML"
"3x3","3x3-seeded-random","-1","4","6","0.333333","2","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","4","6","0.333333","3","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","4","7","0.388889","1","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","4","7","0.388889","2","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","4","7","0.388889","3","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","4","8","0.444444","1","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","4","8","0.444444","2","2","O20","objective","S20","HL"
"3x3","3x3-seeded-random","-1","4","8","0.444444","3","2","O20","objective","S31","HL"
"3x3","3x3-seeded-random","-1","4","9","0.500000","1","1","O11","objective","S21","MM"
"3x3","3x3-seeded-random","-1","4","9","0.500000","2","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","4","9","0.500000","3","1","O12","objective","S12","MH"
"3x3","3x3-seeded-random","-1","4","10","0.555556","1","2","O10","objective","S11","ML"
"3x3","3x3-seeded-random","-1","4","10","0.555556","2","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","4","10","0.555556","3","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","4","11","0.611111","1","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","4","11","0.611111","2","1","O20","objective","S21","HL"
"3x3","3x3-seeded-random","-1","4","11","0.611111","3","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","4","12","0.666667","1","2","O10","objective","S11","ML"
"3x3","3x3-seeded-random","-1","4","12","0.666667","2","2","O20","objective","S20","HL"
"3x3","3x3-seeded-random","-1","4","12","0.666667","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","4","13","0.722222","1","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","4","13","0.722222","2","1","O11","objective","S12","MM"
"3x3","3x3-seeded-random","-1","4","13","0.722222","3","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","4","14","0.777778","1","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","4","14","0.777778","2","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","4","14","0.777778","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","4","15","0.833333","1","1","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","4","15","0.833333","2","1","O22","objective","S23","HH"
"3x3","3x3-seeded-random","-1","4","15","0.833333","3","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","4","16","0.888889","1","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","4","16","0.888889","2","2","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","4","16","0.888889","3","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","4","17","0.944444","1","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","4","17","0.944444","2","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","4","17","0.944444","3","1","O11","objective","S12","MM"
"3x3","3x3-seeded-random","-1","4","18","1.000000","1","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","4","18","1.000000","2","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","4","18","1.000000","3","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","5","1","0.055556","1","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","5","1","0.055556","2","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","5","1","0.055556","3","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","5","2","0.111111","1","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","5","2","0.111111","2","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","5","2","0.111111","3","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","5","3","0.166667","1","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","5","3","0.166667","2","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","5","3","0.166667","3","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","5","4","0.222222","1","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","5","4","0.222222","2","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","5","4","0.222222","3","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","5","5","0.277778","1","1","O10","objective","S21","ML"
"3x3","3x3-seeded-random","-1","5","5","0.277778","2","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","5","5","0.277778","3","1","O12","objective","S23","MH"
"3x3","3x3-seeded-random","-1","5","6","0.333333","1","2","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","5","6","0.333333","2","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","5","6","0.333333","3","2","O01","objective","S12","LM"
"3x3","3x3-seeded-random","-1","5","7","0.388889","1","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","5","7","0.388889","2","1","O11","objective","S21","MM"
"3x3","3x3-seeded-random","-1","5","7","0.388889","3","1","O12","objective","S22","MH"
"3x3","3x3-seeded-random","-1","5","8","0.444444","1","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","5","8","0.444444","2","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","5","8","0.444444","3","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","5","9","0.500000","1","1","O21","objective","S22","HM"
"3x3","3x3-seeded-random","-1","5","9","0.500000","2","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","5","9","0.500000","3","1","O12","objective","S23","MH"
"3x3","3x3-seeded-random","-1","5","10","0.555556","1","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","5","10","0.555556","2","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","5","10","0.555556","3","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","5","11","0.611111","1","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","5","11","0.611111","2","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","5","11","0.611111","3","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","5","12","0.666667","1","2","O01","objective","S12","LM"
"3x3","3x3-seeded-random","-1","5","12","0.666667","2","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","5","12","0.666667","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","5","13","0.722222","1","1","O22","objective","S33","HH"
"3x3","3x3-seeded-random","-1","5","13","0.722222","2","1","O22","objective","S23","HH"
"3x3","3x3-seeded-random","-1","5","13","0.722222","3","1","O10","objective","S21","ML"
"3x3","3x3-seeded-random","-1","5","14","0.777778","1","2","O02","objective","S12","LH"
"3x3","3x3-seeded-random","-1","5","14","0.777778","2","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","5","14","0.777778","3","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","5","15","0.833333","1","1","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","5","15","0.833333","2","1","O22","objective","S23","HH"
"3x3","3x3-seeded-random","-1","5","15","0.833333","3","1","O11","objective","S22","MM"
"3x3","3x3-seeded-random","-1","5","16","0.888889","1","2","O10","objective","S20","ML"
"3x3","3x3-seeded-random","-1","5","16","0.888889","2","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","5","16","0.888889","3","2","O01","objective","S11","LM"
"3x3","3x3-seeded-random","-1","5","17","0.944444","1","1","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","5","17","0.944444","2","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","5","17","0.944444","3","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","5","18","1.000000","1","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","5","18","1.000000","2","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","5","18","1.000000","3","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","6","1","0.055556","1","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","6","1","0.055556","2","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","6","1","0.055556","3","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","6","2","0.111111","1","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","6","2","0.111111","2","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","6","2","0.111111","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","6","3","0.166667","1","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","6","3","0.166667","2","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","6","3","0.166667","3","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","6","4","0.222222","1","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","6","4","0.222222","2","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","6","4","0.222222","3","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","6","5","0.277778","1","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","6","5","0.277778","2","1","O00","objective","S10","LL"
"3x3","3x3-seeded-random","-1","6","5","0.277778","3","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","6","6","0.333333","1","2","O20","objective","S30","HL"
"3x3","3x3-seeded-random","-1","6","6","0.333333","2","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","6","6","0.333333","3","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","6","7","0.388889","1","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","6","7","0.388889","2","1","O21","objective","S21","HM"
"3x3","3x3-seeded-random","-1","6","7","0.388889","3","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","6","8","0.444444","1","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","6","8","0.444444","2","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","6","8","0.444444","3","2","O12","objective","S23","MH"
"3x3","3x3-seeded-random","-1","6","9","0.500000","1","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","6","9","0.500000","2","1","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","6","9","0.500000","3","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","6","10","0.555556","1","2","O22","objective","S22","HH"
"3x3","3x3-seeded-random","-1","6","10","0.555556","2","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","6","10","0.555556","3","2","O22","objective","S23","HH"
"3x3","3x3-seeded-random","-1","6","11","0.611111","1","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","6","11","0.611111","2","1","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","6","11","0.611111","3","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","6","12","0.666667","1","2","O12","objective","S23","MH"
"3x3","3x3-seeded-random","-1","6","12","0.666667","2","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","6","12","0.666667","3","2","O20","objective","S30","HL"
"3x3","3x3-seeded-random","-1","6","13","0.722222","1","1","O20","objective","S21","HL"
"3x3","3x3-seeded-random","-1","6","13","0.722222","2","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","6","13","0.722222","3","1","O01","objective","S11","LM"
"3x3","3x3-seeded-random","-1","6","14","0.777778","1","2","O22","objective","S22","HH"
"3x3","3x3-seeded-random","-1","6","14","0.777778","2","2","O20","objective","S30","HL"
"3x3","3x3-seeded-random","-1","6","14","0.777778","3","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","6","15","0.833333","1","1","O10","objective","S20","ML"
"3x3","3x3-seeded-random","-1","6","15","0.833333","2","1","O02","objective","S12","LH"
"3x3","3x3-seeded-random","-1","6","15","0.833333","3","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","6","16","0.888889","1","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","6","16","0.888889","2","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","6","16","0.888889","3","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","6","17","0.944444","1","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","6","17","0.944444","2","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","6","17","0.944444","3","1","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","6","18","1.000000","1","2","O12","objective","S23","MH"
"3x3","3x3-seeded-random","-1","6","18","1.000000","2","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","6","18","1.000000","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","7","1","0.055556","1","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","7","1","0.055556","2","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","7","1","0.055556","3","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","7","2","0.111111","1","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","7","2","0.111111","2","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","7","2","0.111111","3","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","7","3","0.166667","1","1","O10","objective","S11","ML"
"3x3","3x3-seeded-random","-1","7","3","0.166667","2","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","7","3","0.166667","3","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","7","4","0.222222","1","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","7","4","0.222222","2","2","O22","objective","S22","HH"
"3x3","3x3-seeded-random","-1","7","4","0.222222","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","7","5","0.277778","1","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","7","5","0.277778","2","1","O20","objective","S30","HL"
"3x3","3x3-seeded-random","-1","7","5","0.277778","3","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","7","6","0.333333","1","2","O22","objective","S22","HH"
"3x3","3x3-seeded-random","-1","7","6","0.333333","2","2","O02","objective","S03","LH"
"3x3","3x3-seeded-random","-1","7","6","0.333333","3","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","7","7","0.388889","1","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","7","7","0.388889","2","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","7","7","0.388889","3","1","O01","objective","S11","LM"
"3x3","3x3-seeded-random","-1","7","8","0.444444","1","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","7","8","0.444444","2","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","7","8","0.444444","3","2","O11","objective","S22","MM"
"3x3","3x3-seeded-random","-1","7","9","0.500000","1","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","7","9","0.500000","2","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","7","9","0.500000","3","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","7","10","0.555556","1","2","O01","objective","S01","LM"
"3x3","3x3-seeded-random","-1","7","10","0.555556","2","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","7","10","0.555556","3","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","7","11","0.611111","1","1","O01","objective","S12","LM"
"3x3","3x3-seeded-random","-1","7","11","0.611111","2","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","7","11","0.611111","3","1","O21","objective","S32","HM"
"3x3","3x3-seeded-random","-1","7","12","0.666667","1","2","O21","objective","S22","HM"
"3x3","3x3-seeded-random","-1","7","12","0.666667","2","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","7","12","0.666667","3","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","7","13","0.722222","1","1","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","7","13","0.722222","2","1","O12","objective","S12","MH"
"3x3","3x3-seeded-random","-1","7","13","0.722222","3","1","O10","objective","S11","ML"
"3x3","3x3-seeded-random","-1","7","14","0.777778","1","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","7","14","0.777778","2","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","7","14","0.777778","3","2","O20","objective","S31","HL"
"3x3","3x3-seeded-random","-1","7","15","0.833333","1","1","O01","objective","S12","LM"
"3x3","3x3-seeded-random","-1","7","15","0.833333","2","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","7","15","0.833333","3","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","7","16","0.888889","1","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","7","16","0.888889","2","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","7","16","0.888889","3","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","7","17","0.944444","1","1","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","7","17","0.944444","2","1","O20","objective","S30","HL"
"3x3","3x3-seeded-random","-1","7","17","0.944444","3","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","7","18","1.000000","1","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","7","18","1.000000","2","2","O02","objective","S13","LH"
"3x3","3x3-seeded-random","-1","7","18","1.000000","3","2","O22","objective","S22","HH"
"3x3","3x3-seeded-random","-1","8","1","0.055556","1","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","8","1","0.055556","2","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","8","1","0.055556","3","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","8","2","0.111111","1","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","8","2","0.111111","2","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","8","2","0.111111","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","8","3","0.166667","1","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","8","3","0.166667","2","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","8","3","0.166667","3","1","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","8","4","0.222222","1","2","O12","objective","S13","MH"
"3x3","3x3-seeded-random","-1","8","4","0.222222","2","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","8","4","0.222222","3","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","8","5","0.277778","1","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","8","5","0.277778","2","1","O10","objective","S10","ML"
"3x3","3x3-seeded-random","-1","8","5","0.277778","3","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","8","6","0.333333","1","2","O10","objective","S20","ML"
"3x3","3x3-seeded-random","-1","8","6","0.333333","2","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","8","6","0.333333","3","2","O02","objective","S12","LH"
"3x3","3x3-seeded-random","-1","8","7","0.388889","1","1","O21","objective","S31","HM"
"3x3","3x3-seeded-random","-1","8","7","0.388889","2","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","8","7","0.388889","3","1","O01","objective","S01","LM"
"3x3","3x3-seeded-random","-1","8","8","0.444444","1","2","O02","objective","S12","LH"
"3x3","3x3-seeded-random","-1","8","8","0.444444","2","2","O10","objective","S11","ML"
"3x3","3x3-seeded-random","-1","8","8","0.444444","3","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","8","9","0.500000","1","1","O21","objective","S31","HM"
"3x3","3x3-seeded-random","-1","8","9","0.500000","2","1","O01","objective","S01","LM"
"3x3","3x3-seeded-random","-1","8","9","0.500000","3","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","8","10","0.555556","1","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","8","10","0.555556","2","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","8","10","0.555556","3","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","8","11","0.611111","1","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","8","11","0.611111","2","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","8","11","0.611111","3","1","O11","objective","S22","MM"
"3x3","3x3-seeded-random","-1","8","12","0.666667","1","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","8","12","0.666667","2","2","O22","objective","S32","HH"
"3x3","3x3-seeded-random","-1","8","12","0.666667","3","2","O01","objective","S12","LM"
"3x3","3x3-seeded-random","-1","8","13","0.722222","1","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","8","13","0.722222","2","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","8","13","0.722222","3","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","8","14","0.777778","1","2","O10","objective","S11","ML"
"3x3","3x3-seeded-random","-1","8","14","0.777778","2","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","8","14","0.777778","3","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","8","15","0.833333","1","1","O00","objective","S01","LL"
"3x3","3x3-seeded-random","-1","8","15","0.833333","2","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","8","15","0.833333","3","1","O02","objective","S03","LH"
"3x3","3x3-seeded-random","-1","8","16","0.888889","1","2","O02","objective","S13","LH"
"3x3","3x3-seeded-random","-1","8","16","0.888889","2","2","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","8","16","0.888889","3","2","O20","objective","S20","HL"
"3x3","3x3-seeded-random","-1","8","17","0.944444","1","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","8","17","0.944444","2","1","O00","objective","S00","LL"
"3x3","3x3-seeded-random","-1","8","17","0.944444","3","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","8","18","1.000000","1","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","8","18","1.000000","2","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","8","18","1.000000","3","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","9","1","0.055556","1","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","9","1","0.055556","2","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","9","1","0.055556","3","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","9","2","0.111111","1","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","9","2","0.111111","2","2","S12","supply","","LM"
