experiment_id,iteration_limit,game_index,player,player_result_status,supply_point,spatial_category,first_piece_placement_turn,first_control_turn,first_unsecured_control_turn,first_securing_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turns,contested_turns,own_pieces_placed,opponent_pieces_placed,supply_usage_turns,objective_placements_supplied,objective_sites_supplied,objective_sites_supplied_count,adjacent_objective_count,objective_coverage,usage_after_first_control,usage_after_securing,adjacent_live_objectives_at_first_control,adjacent_live_objectives_at_securing,legal_securable_opportunities,ever_securable,securing_opportunities_taken,final_state,final_own_pieces,final_opponent_pieces,final_is_unsecured_controlled,final_is_secured,final_is_controlled_or_secured
uct-10000-self-play,10000,2,2,loser,S00,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S01,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S01,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S02,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S02,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S03,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S03,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S04,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S04,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S10,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S10,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S11,interior,19,19,19,,6,0,6,0.25,0.0,0.25,18,0,1,0,1,1,O00,1,4,0.25,1,0,3,,2,true,0,1,1,0,true,false,true
uct-10000-self-play,10000,2,2,loser,S11,interior,,,,,0,0,0,0.0,0.0,0.0,18,0,0,1,0,0,,0,4,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,2,1,winner,S12,interior,1,1,1,,6,0,6,0.25,0.0,0.25,1,23,2,3,1,1,O12,1,4,0.25,1,0,4,,3,true,0,4,2,3,false,false,false
uct-10000-self-play,10000,2,2,loser,S12,interior,2,8,,8,0,17,17,0.0,0.708333,0.708333,1,23,3,2,7,7,O01;O02;O11,3,4,0.75,7,7,4,4,3,true,1,4,3,2,false,true,true
uct-10000-self-play,10000,2,1,winner,S13,interior,5,,,,0,0,0,0.0,0.0,0.0,20,20,1,2,0,0,,0,4,0.0,0,0,,,9,true,0,2,1,2,false,false,false
uct-10000-self-play,10000,2,2,loser,S13,interior,2,2,2,,4,0,4,0.166667,0.0,0.166667,20,20,2,1,1,1,O02,1,4,0.25,1,0,4,,11,true,0,2,2,1,true,false,true
uct-10000-self-play,10000,2,1,winner,S14,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S14,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S20,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S20,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S21,interior,1,1,1,,3,0,3,0.125,0.0,0.125,13,21,2,3,1,1,O21,1,4,0.25,1,0,4,,11,true,0,4,2,3,false,false,false
uct-10000-self-play,10000,2,2,loser,S21,interior,4,16,16,24,7,1,8,0.291667,0.041667,0.333333,13,21,3,2,3,3,O10;O20,2,4,0.5,3,0,3,1,10,true,1,4,3,2,false,true,true
uct-10000-self-play,10000,2,1,winner,S22,interior,1,1,1,7,2,18,20,0.083333,0.75,0.833333,4,23,3,2,5,5,O12;O21;O22,3,4,0.75,5,5,4,4,3,true,1,3,3,2,false,true,true
uct-10000-self-play,10000,2,2,loser,S22,interior,2,,,,0,0,0,0.0,0.0,0.0,4,23,2,3,0,0,,0,4,0.0,0,0,,,2,true,0,3,2,3,false,false,false
uct-10000-self-play,10000,2,1,winner,S23,interior,9,9,9,15,2,10,12,0.083333,0.416667,0.5,12,15,3,2,4,4,O13;O23,2,4,0.5,4,4,4,3,3,true,1,3,3,2,false,true,true
uct-10000-self-play,10000,2,2,loser,S23,interior,10,,,,0,0,0,0.0,0.0,0.0,12,15,2,3,0,0,,0,4,0.0,0,0,,,2,true,0,3,2,3,false,false,false
uct-10000-self-play,10000,2,1,winner,S24,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S24,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S30,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S30,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S31,interior,3,3,3,,3,0,3,0.125,0.0,0.125,5,19,2,3,1,1,O21,1,4,0.25,1,0,4,,5,true,0,4,2,3,false,false,false
uct-10000-self-play,10000,2,2,loser,S31,interior,6,8,8,14,5,11,16,0.208333,0.458333,0.666667,5,19,3,2,6,6,O20;O30;O31,3,4,0.75,6,4,4,3,4,true,1,4,3,2,false,true,true
uct-10000-self-play,10000,2,1,winner,S32,interior,,,,,0,0,0,0.0,0.0,0.0,23,0,0,1,0,0,,0,4,0.0,0,0,,,0,false,0,2,0,1,false,false,false
uct-10000-self-play,10000,2,2,loser,S32,interior,24,24,24,,1,0,1,0.041667,0.0,0.041667,23,0,1,0,0,0,,0,4,0.0,0,0,2,,0,false,0,2,1,0,true,false,true
uct-10000-self-play,10000,2,1,winner,S33,interior,7,9,9,15,5,10,15,0.208333,0.416667,0.625,6,18,3,2,6,6,O22;O23;O32;O33,4,4,1.0,6,4,4,4,4,true,1,3,3,2,false,true,true
uct-10000-self-play,10000,2,2,loser,S33,interior,4,4,4,,3,0,3,0.125,0.0,0.125,6,18,2,3,1,1,O33,1,4,0.25,1,0,4,,5,true,0,3,2,3,false,false,false
uct-10000-self-play,10000,2,1,winner,S34,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S34,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S40,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S40,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S41,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S41,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S42,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S42,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S43,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S43,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,1,winner,S44,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,2,2,loser,S44,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,1,draw,S00,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,2,draw,S00,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,1,draw,S01,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,2,draw,S01,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,1,draw,S02,edge,23,23,23,,2,0,2,0.083333,0.0,0.083333,22,0,1,0,0,0,,0,2,0.0,0,0,0,,0,false,0,1,1,0,true,false,true
uct-10000-self-play,10000,3,2,draw,S02,edge,,,,,0,0,0,0.0,0.0,0.0,22,0,0,1,0,0,,0,2,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,3,1,draw,S03,edge,19,19,19,,6,0,6,0.25,0.0,0.25,18,0,1,0,2,2,O02;O03,2,2,1.0,2,0,2,,2,true,0,1,1,0,true,false,true
uct-10000-self-play,10000,3,2,draw,S03,edge,,,,,0,0,0,0.0,0.0,0.0,18,0,0,1,0,0,,0,2,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,3,1,draw,S04,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,2,draw,S04,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,1,draw,S10,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,2,draw,S10,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,1,draw,S11,interior,1,1,1,,13,0,13,0.541667,0.0,0.541667,11,11,1,1,5,5,O01;O10;O11,3,4,0.75,5,0,4,,11,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,3,2,draw,S11,interior,14,,,,0,0,0,0.0,0.0,0.0,11,11,1,1,0,0,,0,4,0.0,0,0,,,5,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,3,1,draw,S12,interior,1,1,1,,17,0,17,0.708333,0.0,0.708333,7,7,1,1,6,6,O01;O02;O11;O12,4,4,1.0,6,0,4,,11,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,3,2,draw,S12,interior,18,,,,0,0,0,0.0,0.0,0.0,7,7,1,1,0,0,,0,4,0.0,0,0,,,3,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,3,1,draw,S13,interior,1,1,1,,2,0,2,0.083333,0.0,0.083333,22,23,2,2,0,0,,0,4,0.0,0,0,4,,11,true,0,0,2,2,false,false,false
uct-10000-self-play,10000,3,2,draw,S13,interior,2,,,,0,0,0,0.0,0.0,0.0,22,23,2,2,0,0,,0,4,0.0,0,0,,,11,true,0,0,2,2,false,false,false
uct-10000-self-play,10000,3,1,draw,S14,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,2,draw,S14,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,1,draw,S20,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,2,draw,S20,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,1,draw,S21,interior,9,19,19,,6,0,6,0.25,0.0,0.25,11,16,2,1,1,1,O10,1,4,0.25,1,0,1,,7,true,0,1,2,1,true,false,true
uct-10000-self-play,10000,3,2,draw,S21,interior,2,2,2,,7,0,7,0.291667,0.0,0.291667,11,16,1,2,3,3,O20;O21,2,4,0.5,3,0,4,,11,true,0,1,1,2,false,false,false
uct-10000-self-play,10000,3,1,draw,S22,interior,3,3,3,,22,0,22,0.916667,0.0,0.916667,2,0,1,0,5,5,O12;O22,2,4,0.5,5,0,4,,10,true,0,1,1,0,true,false,true
uct-10000-self-play,10000,3,2,draw,S22,interior,,,,,0,0,0,0.0,0.0,0.0,2,0,0,1,0,0,,0,4,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,3,1,draw,S23,interior,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,4,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,2,draw,S23,interior,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,4,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,1,draw,S24,edge,21,,,,0,0,0,0.0,0.0,0.0,19,4,1,1,0,0,,0,2,0.0,0,0,,,1,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,3,2,draw,S24,edge,16,16,16,,5,0,5,0.208333,0.0,0.208333,19,4,1,1,2,2,O13;O23,2,2,1.0,2,0,2,,4,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,3,1,draw,S30,edge,,,,,0,0,0,0.0,0.0,0.0,3,0,0,1,0,0,,0,2,0.0,0,0,,,0,false,0,2,0,1,false,false,false
uct-10000-self-play,10000,3,2,draw,S30,edge,4,4,4,,21,0,21,0.875,0.0,0.875,3,0,1,0,3,3,O20;O30,2,2,1.0,3,0,2,,10,true,0,2,1,0,true,false,true
uct-10000-self-play,10000,3,1,draw,S31,interior,5,,,,0,0,0,0.0,0.0,0.0,12,20,2,2,0,0,,0,4,0.0,0,0,,,9,true,0,0,2,2,false,false,false
uct-10000-self-play,10000,3,2,draw,S31,interior,2,2,2,,12,0,12,0.5,0.0,0.5,12,20,2,2,5,5,O21;O30;O31,3,4,0.75,5,0,4,,11,true,0,0,2,2,false,false,false
uct-10000-self-play,10000,3,1,draw,S32,interior,13,,,,0,0,0,0.0,0.0,0.0,15,12,2,3,0,0,,0,4,0.0,0,0,,,2,true,0,4,2,3,false,false,false
uct-10000-self-play,10000,3,2,draw,S32,interior,12,12,12,18,2,7,9,0.083333,0.291667,0.375,15,12,3,2,3,3,O31;O32,2,4,0.5,3,3,3,2,3,true,1,4,3,2,false,true,true
uct-10000-self-play,10000,3,1,draw,S33,interior,11,,,,0,0,0,0.0,0.0,0.0,15,14,2,3,0,0,,0,4,0.0,0,0,,,5,true,0,4,2,3,false,false,false
uct-10000-self-play,10000,3,2,draw,S33,interior,10,10,10,22,6,3,9,0.25,0.125,0.375,15,14,3,2,3,3,O23;O32,2,4,0.5,3,1,4,2,6,true,1,4,3,2,false,true,true
uct-10000-self-play,10000,3,1,draw,S34,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,2,draw,S34,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,1,draw,S40,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,2,draw,S40,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,1,draw,S41,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,2,draw,S41,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,1,draw,S42,edge,23,,,,0,0,0,0.0,0.0,0.0,23,2,1,1,0,0,,0,2,0.0,0,0,,,0,false,0,0,1,1,false,false,false
uct-10000-self-play,10000,3,2,draw,S42,edge,22,22,22,,1,0,1,0.041667,0.0,0.041667,23,2,1,1,0,0,,0,2,0.0,0,0,1,,1,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,3,1,draw,S43,edge,,,,,0,0,0,0.0,0.0,0.0,23,0,0,1,0,0,,0,2,0.0,0,0,,,0,false,0,2,0,1,false,false,false
uct-10000-self-play,10000,3,2,draw,S43,edge,24,24,24,,1,0,1,0.041667,0.0,0.041667,23,0,1,0,0,0,,0,2,0.0,0,0,1,,0,false,0,2,1,0,true,false,true
uct-10000-self-play,10000,3,1,draw,S44,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,3,2,draw,S44,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,1,winner,S00,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,2,loser,S00,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,1,winner,S01,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,2,loser,S01,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,1,winner,S02,edge,9,9,9,,16,0,16,0.666667,0.0,0.666667,8,0,1,0,1,1,O02,1,2,0.5,1,0,2,,7,true,0,1,1,0,true,false,true
uct-10000-self-play,10000,4,2,loser,S02,edge,,,,,0,0,0,0.0,0.0,0.0,8,0,0,1,0,0,,0,2,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,4,1,winner,S03,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,2,loser,S03,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,1,winner,S04,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,2,loser,S04,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,1,winner,S10,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,2,loser,S10,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,1,winner,S11,interior,5,7,,7,0,18,18,0.0,0.75,0.75,2,20,3,2,4,4,O00;O01;O10,3,4,0.75,4,4,4,4,1,true,1,3,3,2,false,true,true
uct-10000-self-play,10000,4,2,loser,S11,interior,2,2,2,,4,0,4,0.166667,0.0,0.166667,2,20,2,3,1,1,O01,1,4,0.25,1,0,4,,2,true,0,3,2,3,false,false,false
uct-10000-self-play,10000,4,1,winner,S12,interior,3,3,3,,22,0,22,0.916667,0.0,0.916667,2,0,1,0,6,6,O01;O02;O11,3,4,0.75,6,0,4,,10,true,0,1,1,0,true,false,true
uct-10000-self-play,10000,4,2,loser,S12,interior,,,,,0,0,0,0.0,0.0,0.0,2,0,0,1,0,0,,0,4,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,4,1,winner,S13,interior,19,19,19,,6,0,6,0.25,0.0,0.25,18,0,1,0,1,1,O03,1,4,0.25,1,0,2,,2,true,0,1,1,0,true,false,true
uct-10000-self-play,10000,4,2,loser,S13,interior,,,,,0,0,0,0.0,0.0,0.0,18,0,0,1,0,0,,0,4,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,4,1,winner,S14,edge,23,,,,0,0,0,0.0,0.0,0.0,21,2,1,1,0,0,,0,2,0.0,0,0,,,0,false,0,0,1,1,false,false,false
uct-10000-self-play,10000,4,2,loser,S14,edge,20,20,20,,3,0,3,0.125,0.0,0.125,21,2,1,1,1,1,O13,1,2,0.5,1,0,2,,2,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,4,1,winner,S20,edge,,,,,0,0,0,0.0,0.0,0.0,23,0,0,1,0,0,,0,2,0.0,0,0,,,0,false,0,2,0,1,false,false,false
uct-10000-self-play,10000,4,2,loser,S20,edge,24,24,24,,1,0,1,0.041667,0.0,0.041667,23,0,1,0,0,0,,0,2,0.0,0,0,0,,0,false,0,2,1,0,true,false,true
uct-10000-self-play,10000,4,1,winner,S21,interior,1,1,1,,5,0,5,0.208333,0.0,0.208333,5,19,2,3,2,2,O10,1,4,0.25,2,0,4,,7,true,0,4,2,3,false,false,false
uct-10000-self-play,10000,4,2,loser,S21,interior,6,8,8,16,5,9,14,0.208333,0.375,0.583333,5,19,3,2,4,4,O20;O21,2,4,0.5,4,2,4,2,5,true,1,4,3,2,false,true,true
uct-10000-self-play,10000,4,1,winner,S22,interior,1,1,1,,2,0,2,0.083333,0.0,0.083333,1,23,2,3,0,0,,0,4,0.0,0,0,4,,1,true,0,4,2,3,false,false,false
uct-10000-self-play,10000,4,2,loser,S22,interior,2,4,,4,0,21,21,0.0,0.875,0.875,1,23,3,2,7,7,O11;O12;O21;O22,4,4,1.0,7,7,4,4,1,true,1,4,3,2,false,true,true
uct-10000-self-play,10000,4,1,winner,S23,interior,1,1,1,,1,0,1,0.041667,0.0,0.041667,6,23,1,2,0,0,,0,4,0.0,0,0,4,,11,true,0,2,1,2,false,false,false
uct-10000-self-play,10000,4,2,loser,S23,interior,2,8,8,,17,0,17,0.708333,0.0,0.708333,6,23,2,1,6,6,O12;O13;O22;O23,4,4,1.0,6,0,4,,11,true,0,2,2,1,true,false,true
uct-10000-self-play,10000,4,1,winner,S24,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,2,loser,S24,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,1,winner,S30,edge,21,21,21,,4,0,4,0.166667,0.0,0.166667,20,0,1,0,1,1,O30,1,2,0.5,1,0,1,,1,true,0,1,1,0,true,false,true
uct-10000-self-play,10000,4,2,loser,S30,edge,,,,,0,0,0,0.0,0.0,0.0,20,0,0,1,0,0,,0,2,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,4,1,winner,S31,interior,15,,,,0,0,0,0.0,0.0,0.0,22,10,2,2,0,0,,0,4,0.0,0,0,,,4,true,0,0,2,2,false,false,false
uct-10000-self-play,10000,4,2,loser,S31,interior,14,14,14,,2,0,2,0.083333,0.0,0.083333,22,10,2,2,0,0,,0,4,0.0,0,0,4,,5,true,0,0,2,2,false,false,false
uct-10000-self-play,10000,4,1,winner,S32,interior,,,,,0,0,0,0.0,0.0,0.0,21,0,0,1,0,0,,0,4,0.0,0,0,,,0,false,0,2,0,1,false,false,false
uct-10000-self-play,10000,4,2,loser,S32,interior,22,22,22,,3,0,3,0.125,0.0,0.125,21,0,1,0,0,0,,0,4,0.0,0,0,2,,1,true,0,2,1,0,true,false,true
uct-10000-self-play,10000,4,1,winner,S33,interior,19,19,19,,6,0,6,0.25,0.0,0.25,18,0,1,0,1,1,O23,1,4,0.25,1,0,3,,2,true,0,1,1,0,true,false,true
uct-10000-self-play,10000,4,2,loser,S33,interior,,,,,0,0,0,0.0,0.0,0.0,18,0,0,1,0,0,,0,4,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,4,1,winner,S34,edge,,,,,0,0,0,0.0,0.0,0.0,23,0,0,1,0,0,,0,2,0.0,0,0,,,0,false,0,2,0,1,false,false,false
uct-10000-self-play,10000,4,2,loser,S34,edge,24,24,24,,1,0,1,0.041667,0.0,0.041667,23,0,1,0,0,0,,0,2,0.0,0,0,1,,0,false,0,2,1,0,true,false,true
uct-10000-self-play,10000,4,1,winner,S40,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,4,2,loser,S40,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
